<Identifier>:10/22/2019 03:47:25 AM;
Software:Name=Qtegra;Version=2.10.3324.62;File Version=1;
Configuration:Machine=iCAP TQ;
S-TQ-NH3:Additional Gas Flow 1=0;Additional Gas Flow 2=0;Q1 Entry Lens=-101.25;Angular Deflection=-250;Deflection Entry Lens=-30;Extraction Lens 1 Polarity=0;Extraction Lens 1 Negative=0;Extraction Lens 1 Positive=0;Spray Chamber Temperature=2.7;Peristaltic Pump Speed=40;Cool Flow=14;Sampling Depth=5;Plasma Power=1550;Auxilliary Flow=0.8;Nebulizer Flow=0;Torch Horizontal Position=-0.68;Torch Vertical Position=-0.0933333333333344;Extraction Lens 2=-145;Q1 Focus Lens=-2.6;CR Bias=-5.94;CR Exit Lens=-40;Focus Lens=0.25;D1 Lens=-350;D2 Lens=-158.875;CR Entry Lens=-100;Quad Entry Lens=-39.6666666666667;Pole Bias=-12;Pole Bias Q1=0;CR1 Flow=0;CR2 Flow=0;CR3 Flow=0;CR4 Flow=0.197687529861443;CR RF High Mass Amplitude Factor=200;CR RF High Mass Amplitude Offset=0;CR RF High Mass Amplitude Exponent=0.53;CR RF Low Mass Amplitude Factor=200;CR RF Low Mass Amplitude Offset=-40;CR RF Low Mass Amplitude Exponent=0.7;CR Parameter Mass Switch Point=84.5;Q1 SQ-mode RF Dac Factor=600;Q1 SQ-mode RF Dac Offset=-640;Q1 SQ-mode parameter b=0.65;Dry Pump Speed=0;
RF Generator:RF Plasma Lit Readback=1;RF FET Temperature Ok Readback=1;Plasma Power Readback=1548.6077186126;
Ion Optics:Pole Bias Readback=-11.8357771260997;Torch Horizontal Position Readback=-0.744281524926687;Torch Vertical Position Readback=-0.121407624633432;Sampling Depth Readback=5;Extraction Lens 1 Negative Readback=-200.39100684262;Extraction Lens 1 Positive Readback=0.00977517106549364;Extraction Lens 2 Readback=-152.492668621701;Angular Deflection Readback=-250;Quad Entry Lens Readback=-39.8826979472141;Q1 Entry Lens Readback=-99.2179863147605;Focus Lens Readback=0.102639296187689;D2 Lens Readback=-158.162267839687;Deflection Entry Lens Readback=-29.6383186705767;D1 Lens Readback=-351.515151515152;CCT Exit Lens Readback=-40.0782013685239;CCT Bias Readback=-6.05571847507331;CCT Entry Lens Readback=-100.928641251222;
Vacuum:Analyzer Vacuum Ok Readback=1;Interface Pressure Readback=2.1183706713536;Analyzer Pressure Readback=6.04679056396711E-07;
Detector:Detector Voltage (Counting) Readback=1513.19648093842;Detector Voltage (Analog) Readback=-2377.32160312805;
Cooling System:Plasma Cooling Water Flow Readback=0.409411764705882;Interface Temperature Readback=31.760349588359;Exhaust Flow Readback=0.409737047898338;Quad Board Temperature Readback=56.0606060606061;Inlet Fan Speed Readback=0;Outlet Fan Speed Readback=2376.47058823529;Peltier Temperature Hot Side Readback=19.827257736547;Spray Chamber Temperature Readback=2.5530011228611;
Power Supply:Supply Voltage 500 V Readback=-540.078201368524;Supply Voltage 1 kV Readback=-314.027370478983;
Gas Supply:Nebulizer Supply Pressure Readback=-0.0025274193548388;Nebulizer Flow Readback=0;Cool Flow Readback=13.919843597263;Auxilliary Flow Readback=0.796187683284457;CCT1 Flow Readback=0;CCT2 Flow Readback=0;CCT3 Flow Readback=0;CCT4 Flow Readback=0.187683284457478;Additional Gas Flow 1 Readback=0;
Pulse Counting:Threshold=2500000;

Time,31P | 31P,43Ca | 43Ca,55Mn | 55Mn,85Rb | 85Rb,87Sr | 87Sr,89Y | 89Y,93Nb | 93Nb,139La | 139La,172Yb | 172Yb,175Lu | 175Lu,176Hf | 176Hf.14N5.1H12,178Hf | 178Hf.14N5.1H12,181Ta | 181Ta,204Pb | 204Pb,206Pb | 206Pb,208Pb | 208Pb,232Th | 232Th.14N.1H,238U | 238U.14N.1H,
,dwell time=0.001;xcal factor=66824.62237,dwell time=0.001;xcal factor=71719.77352,dwell time=0.005;xcal factor=77663.90594,dwell time=0.005;xcal factor=90291.4326,dwell time=0.005;xcal factor=90610.77921,dwell time=0.005;xcal factor=90930.12583,dwell time=0.005;xcal factor=91568.81905,dwell time=0.005;xcal factor=94936.52692,dwell time=0.005;xcal factor=102737.50764,dwell time=0.005;xcal factor=103446.6877,dwell time=0.005;xcal factor=103683.08106,dwell time=0.005;xcal factor=104155.86777,dwell time=0.005;xcal factor=104865.04783,dwell time=0.005;xcal factor=110302.095,dwell time=0.005;xcal factor=110075.4461,dwell time=0.005;xcal factor=109848.79721,dwell time=0.005;xcal factor=107129.01044,dwell time=0.005;xcal factor=106791.55622,
0.01164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.26142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.51141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.76124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.01084,0,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.26122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.51107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1.76138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.26135,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.51099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.76125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.0109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.51119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3.76134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.01138,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.26121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.51083,1000.04000160006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4.76128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.01123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.26121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.51088,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5.76126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.01102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.26124,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.51105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.76135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7.01133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7.26138,0,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7.51142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7.76124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.01097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.26135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.51111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8.76136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
9.01095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9.26118,1000.04000160006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9.51098,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9.76128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.01109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.2613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.51092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10.76123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.01102,1000.04000160006,0,0,200.0016000128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.26128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.51121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11.76133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12.01125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12.26139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12.51151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12.76123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.01099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.26127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.51112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13.76127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14.01096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14.26119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.0016000128,0,0,
14.51103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14.76122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.01118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.26149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.51125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15.76127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16.01097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16.26124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
